e,eLabel,start,end,sprec,kindLabel,sitelinks,whereLabel
http://www.wikidata.org/entity/Q758173,Plague of Athens,-0429-01-01T00:00:00Z,-0425-01-01T00:00:00Z,9,epidemic,31,Classical Athens
http://www.wikidata.org/entity/Q83311,Persian Empire,-0549-01-01T00:00:00Z,1979-02-11T00:00:00Z,9,historical country,84,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,-0549-01-01T00:00:00Z,-0329-01-01T00:00:00Z,9,historical country,110,Medo-Persia
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,-0549-01-01T00:00:00Z,-0329-01-01T00:00:00Z,9,historical period,110,Medo-Persia
http://www.wikidata.org/entity/Q1474893,Cleomenean War,-0228-01-01T00:00:00Z,-0221-01-01T00:00:00Z,9,war,23,Greece
http://www.wikidata.org/entity/Q2986801,Qin's Wars of Unification,-0229-01-01T00:00:00Z,-0220-01-01T00:00:00Z,9,war,20,Japan
http://www.wikidata.org/entity/Q207858,Yayoi period,-0299-01-01T00:00:00Z,0250-01-01T00:00:00Z,9,archaeological culture,60,Japan
http://www.wikidata.org/entity/Q207858,Yayoi period,-0299-01-01T00:00:00Z,0250-01-01T00:00:00Z,9,archaeological period,60,Japan
http://www.wikidata.org/entity/Q714557,Kalinga War,-0261-01-01T00:00:00Z,-0260-01-01T00:00:00Z,9,war,28,
http://www.wikidata.org/entity/Q1195760,Battle of Changping,-0261-04-01T00:00:00Z,-0259-07-01T00:00:00Z,10,battle,21,
http://www.wikidata.org/entity/Q1122337,Second Persian invasion of Greece,-0479-01-01T00:00:00Z,-0478-01-01T00:00:00Z,9,war,25,Greece
http://www.wikidata.org/entity/Q2000977,Fifth-century Athens,-0479-01-01T00:00:00Z,-0403-01-01T00:00:00Z,9,golden age,24,
http://www.wikidata.org/entity/Q2000977,Fifth-century Athens,-0479-01-01T00:00:00Z,-0403-01-01T00:00:00Z,9,historical period,24,
http://www.wikidata.org/entity/Q2912306,Wars of the Diadochi,-0321-01-01T00:00:00Z,-0274-01-01T00:00:00Z,9,war of succession,29,
http://www.wikidata.org/entity/Q17167,Roman Republic,-0508-01-01T00:00:00Z,-0026-01-01T00:00:00Z,9,historical country,122,
http://www.wikidata.org/entity/Q17167,Roman Republic,-0508-01-01T00:00:00Z,-0026-01-01T00:00:00Z,9,historical period,122,
http://www.wikidata.org/entity/Q1747183,list of Roman civil wars and revolts,-0508-01-01T00:00:00Z,0476-01-01T00:00:00Z,9,Wikimedia list article,31,Ancient Rome
http://www.wikidata.org/entity/Q28365,Lamian War,-0322-01-01T00:00:00Z,-0321-01-01T00:00:00Z,9,war,35,Greece
http://www.wikidata.org/entity/Q428995,Hellenistic period,-0322-01-01T00:00:00Z,-0099-01-01T00:00:00Z,9,culture,90,
http://www.wikidata.org/entity/Q428995,Hellenistic period,-0322-01-01T00:00:00Z,-0029-01-01T00:00:00Z,9,culture,90,
http://www.wikidata.org/entity/Q428995,Hellenistic period,-0322-01-01T00:00:00Z,-0099-01-01T00:00:00Z,9,art style,90,
http://www.wikidata.org/entity/Q428995,Hellenistic period,-0322-01-01T00:00:00Z,-0029-01-01T00:00:00Z,9,art style,90,
http://www.wikidata.org/entity/Q428995,Hellenistic period,-0322-01-01T00:00:00Z,-0099-01-01T00:00:00Z,9,middle chronology,90,
http://www.wikidata.org/entity/Q428995,Hellenistic period,-0322-01-01T00:00:00Z,-0029-01-01T00:00:00Z,9,middle chronology,90,
http://www.wikidata.org/entity/Q428995,Hellenistic period,-0322-01-01T00:00:00Z,-0099-01-01T00:00:00Z,9,historical period,90,
http://www.wikidata.org/entity/Q428995,Hellenistic period,-0322-01-01T00:00:00Z,-0029-01-01T00:00:00Z,9,historical period,90,
http://www.wikidata.org/entity/Q743776,First Peloponnesian War,-0459-01-01T00:00:00Z,-0444-01-01T00:00:00Z,9,war,23,
http://www.wikidata.org/entity/Q677316,Social War of 91-87 BCE,-0090-01-01T00:00:00Z,-0087-01-01T00:00:00Z,9,war,41,Italy
http://www.wikidata.org/entity/Q843745,Classical Greece,-0489-01-01T00:00:00Z,-0322-01-01T00:00:00Z,9,archaeological culture,52,
http://www.wikidata.org/entity/Q843745,Classical Greece,-0489-01-01T00:00:00Z,-0322-01-01T00:00:00Z,9,historical period,52,
http://www.wikidata.org/entity/Q2362482,First Persian invasion of Greece,-0491-01-01T00:00:00Z,-0489-01-01T00:00:00Z,9,war,22,
http://www.wikidata.org/entity/Q1151705,Chu–Han Contention,-0205-01-01T00:00:00Z,-0201-01-01T00:00:00Z,9,war,19,
http://www.wikidata.org/entity/Q2003895,Astures,-0206-01-01T00:00:00Z,0060-01-01T00:00:00Z,9,historical ethnic group,20,
http://www.wikidata.org/entity/Q25339,5th century BC,-0499-01-01T00:00:00Z,-0400-01-01T00:00:00Z,9,century,99,
http://www.wikidata.org/entity/Q76026,Greco-Persian Wars,-0498-01-01T00:00:00Z,-0448-01-01T00:00:00Z,9,series of wars,79,
http://www.wikidata.org/entity/Q603749,Dorset culture,-0499-01-01T00:00:00Z,1500-01-01T00:00:00Z,9,archaeological culture,30,Canada
http://www.wikidata.org/entity/Q651008,Corinthian War,-0394-01-01T00:00:00Z,-0386-01-01T00:00:00Z,9,war,43,
http://www.wikidata.org/entity/Q747480,Conflict of the Orders,-0499-01-01T00:00:00Z,-0286-01-01T00:00:00Z,9,social conflict,19,Roman Republic
http://www.wikidata.org/entity/Q917982,Pazyryk culture,-0499-01-01T00:00:00Z,-0299-01-01T00:00:00Z,9,archaeological culture,30,
http://www.wikidata.org/entity/Q208247,La Tène culture,-0449-01-01T00:00:00Z,0015-01-01T00:00:00Z,9,culture,55,
http://www.wikidata.org/entity/Q208247,La Tène culture,-0449-01-01T00:00:00Z,0015-01-01T00:00:00Z,9,archaeological culture,55,
http://www.wikidata.org/entity/Q233553,Second Sacred War,-0448-01-01T00:00:00Z,-0447-01-01T00:00:00Z,9,war,18,Greece
http://www.wikidata.org/entity/Q76118,Third Macedonian War,-0170-01-01T00:00:00Z,-0167-01-01T00:00:00Z,9,war,32,
http://www.wikidata.org/entity/Q268218,Emperor of China,-0220-01-01T00:00:00Z,1912-01-01T00:00:00Z,9,historical position,43,Chinese Empire
http://www.wikidata.org/entity/Q208261,Ionian Revolt,-0498-01-01T00:00:00Z,-0492-01-01T00:00:00Z,9,war,43,
http://www.wikidata.org/entity/Q551888,Wars of Alexander the Great,-0335-01-01T00:00:00Z,-0322-01-01T00:00:00Z,9,series of wars,32,
http://www.wikidata.org/entity/Q551888,Wars of Alexander the Great,-0335-01-01T00:00:00Z,-0322-01-01T00:00:00Z,9,wars of individual sovereign,32,
http://www.wikidata.org/entity/Q2338771,Cretan War of 205-200 BCE,-0204-01-01T00:00:00Z,-0199-01-01T00:00:00Z,9,war,21,
http://www.wikidata.org/entity/Q737907,Second Latin War,-0340-01-01T00:00:00Z,-0337-01-01T00:00:00Z,9,war,29,
http://www.wikidata.org/entity/Q6334,Third Punic War,-0148-01-01T00:00:00Z,-0145-01-01T00:00:00Z,9,war,61,Tunisia
http://www.wikidata.org/entity/Q815160,Siege of Carthage,-0148-01-01T00:00:00Z,-0145-01-01T00:00:00Z,9,battle,27,Tunisia
http://www.wikidata.org/entity/Q815160,Siege of Carthage,-0148-01-01T00:00:00Z,-0145-01-01T00:00:00Z,9,siege,27,Tunisia
http://www.wikidata.org/entity/Q815160,Siege of Carthage,-0148-01-01T00:00:00Z,-0145-01-01T00:00:00Z,9,looting,27,Tunisia
http://www.wikidata.org/entity/Q815160,Siege of Carthage,-0148-01-01T00:00:00Z,-0145-01-01T00:00:00Z,9,destruction,27,Tunisia
http://www.wikidata.org/entity/Q815160,Siege of Carthage,-0148-01-01T00:00:00Z,-0145-01-01T00:00:00Z,9,battle,27,Ancient Carthage
http://www.wikidata.org/entity/Q815160,Siege of Carthage,-0148-01-01T00:00:00Z,-0145-01-01T00:00:00Z,9,siege,27,Ancient Carthage
http://www.wikidata.org/entity/Q815160,Siege of Carthage,-0148-01-01T00:00:00Z,-0145-01-01T00:00:00Z,9,looting,27,Ancient Carthage
http://www.wikidata.org/entity/Q815160,Siege of Carthage,-0148-01-01T00:00:00Z,-0145-01-01T00:00:00Z,9,destruction,27,Ancient Carthage
